Student [studentId=28, studentName=Justin Conrad, course=COMPSCI 310, grade=99]
Student [studentId=37, studentName=Simone Scott, course=COMPSCI 312, grade=91]
Student [studentId=91, studentName=Donald Schultz, course=COMPSCI 321, grade=87]
Student [studentId=19, studentName=Blair Heaton, course=COMPSCI 309, grade=87]
Student [studentId=79, studentName=Kerys John, course=COMPSCI 319, grade=87]
Student [studentId=64, studentName=Jameson Best, course=COMPSCI 316, grade=86]
Student [studentId=73, studentName=Alys Mccormick, course=COMPSCI 318, grade=85]
Student [studentId=97, studentName=Angus Navarro, course=COMPSCI 322, grade=85]
Student [studentId=88, studentName=Kwame Mckenzie, course=COMPSCI 320, grade=83]
Student [studentId=16, studentName=Allan Povey, course=COMPSCI 308, grade=83]
Student [studentId=61, studentName=Antoine Cummings, course=COMPSCI 316, grade=83]
Student [studentId=25, studentName=Angelina Shepard, course=COMPSCI 310, grade=82]
Student [studentId=4, studentName=Elsie Medina, course=COMPSCI 306, grade=81]
Student [studentId=76, studentName=Simran Hahn, course=COMPSCI 318, grade=80]
Student [studentId=10, studentName=Darrell Newton, course=COMPSCI 307, grade=79]
Student [studentId=43, studentName=Priyanka Nieves, course=COMPSCI 313, grade=79]
Student [studentId=100, studentName=Simeon Rowley, course=COMPSCI 322, grade=78]
Student [studentId=52, studentName=Eloisa Serrano, course=COMPSCI 314, grade=76]
Student [studentId=34, studentName=Yassin Mcintyre, course=COMPSCI 311, grade=74]
Student [studentId=22, studentName=Joy Ayers, course=COMPSCI 309, grade=74]
Student [studentId=49, studentName=Ihsan Burt, course=COMPSCI 314, grade=74]
Student [studentId=94, studentName=Maiya Gallegos, course=COMPSCI 321, grade=73]
Student [studentId=70, studentName=Tegan Fox, course=COMPSCI 317, grade=72]
Student [studentId=67, studentName=Iqra Hodson, course=COMPSCI 317, grade=72]
Student [studentId=46, studentName=Mitchell Duran, course=COMPSCI 313, grade=71]
Student [studentId=85, studentName=Aamina Mclaughlin, course=COMPSCI 320, grade=69]
Student [studentId=55, studentName=Kelsey Ware, course=COMPSCI 315, grade=69]
Student [studentId=58, studentName=Arielle Pope, course=COMPSCI 315, grade=67]
Student [studentId=1, studentName=Sacha Rich, course=COMPSCI 306, grade=66]
Student [studentId=82, studentName=Braxton Colley, course=COMPSCI 319, grade=66]
Student [studentId=40, studentName=Elize Robin, course=COMPSCI 312, grade=65]
Student [studentId=7, studentName=Liyah Preece, course=COMPSCI 307, grade=63]
Student [studentId=31, studentName=Aryaan Coates, course=COMPSCI 311, grade=58]
Student [studentId=13, studentName=Luther Thornton, course=COMPSCI 308, grade=53]
